iter	MultiClass
0	1.010099282
1	0.9418260197
2	0.8820827833
3	0.8285759022
4	0.7890828229
5	0.7479256333
6	0.7105955425
7	0.6780095684
8	0.6481099732
9	0.6241587371
10	0.6008064136
11	0.5783259577
12	0.5576488673
13	0.538144602
14	0.5239879764
15	0.5066817171
16	0.4939478235
17	0.4813639533
18	0.4690499558
19	0.456963818
20	0.4460655323
21	0.4373213699
22	0.4258319419
23	0.4166882519
24	0.4096985615
25	0.4015416095
26	0.395019959
27	0.3900255497
28	0.3840829884
29	0.378621501
30	0.3723233113
31	0.3686816681
32	0.3634383262
33	0.3595444124
34	0.3551562232
35	0.3516452705
36	0.3469774436
37	0.3438740792
38	0.3395990749
39	0.3368505455
40	0.3341492474
41	0.3307880183
42	0.3276647223
43	0.3245124414
44	0.3220495494
45	0.3205263091
46	0.3184666991
47	0.3159728407
48	0.3131467749
49	0.3124052903
50	0.3109220735
51	0.309094829
52	0.3075567798
53	0.3060785028
54	0.304550657
55	0.3030436659
56	0.3008183485
57	0.2990862319
58	0.2973725536
59	0.2959268517
60	0.2946920203
61	0.2932394843
62	0.2921111245
63	0.2906192924
64	0.2891267951
65	0.2881386054
66	0.2872753004
67	0.2859501411
68	0.2845471437
69	0.2837988445
70	0.2833049366
71	0.2821483765
72	0.281227695
73	0.2800577968
74	0.2791675779
75	0.278812711
76	0.2778554674
77	0.2771786619
78	0.2762244225
79	0.2754452364
80	0.2745332649
81	0.2737689456
82	0.2730332923
83	0.2719704094
84	0.2708833681
85	0.2704096804
86	0.2690864437
87	0.268266436
88	0.2677816964
89	0.2668801429
90	0.2663931236
91	0.2657718499
92	0.2650136982
93	0.263987882
94	0.2634881077
95	0.2626064644
96	0.2619415873
97	0.2607598863
98	0.2601891391
99	0.2593058437
100	0.2587791142
101	0.2582026168
102	0.2573633462
103	0.2567424336
104	0.2560792331
105	0.2551886563
106	0.2544631636
107	0.2539536403
108	0.2535490132
109	0.2530110852
110	0.2522468173
111	0.2515977755
112	0.2510768557
113	0.2507050835
114	0.2501723078
115	0.2497792678
116	0.2491054865
117	0.2483757112
118	0.2477624932
119	0.247133168
120	0.24647705
121	0.246081093
122	0.2456713716
123	0.2450790565
124	0.244474547
125	0.2440130148
126	0.243611277
127	0.2431357674
128	0.2429129258
129	0.2423220126
130	0.2418313772
131	0.241557258
132	0.2410527519
133	0.2403617812
134	0.239808051
135	0.2394410541
136	0.2389190179
137	0.2383553432
138	0.2380281136
139	0.2375403213
140	0.2369054617
141	0.2364714191
142	0.2360384136
143	0.2356007748
144	0.235321894
145	0.2348354146
146	0.2345273057
147	0.2339738871
148	0.2335901515
149	0.2329595734
150	0.2324283001
151	0.2318259755
152	0.2314530123
153	0.2309205218
154	0.2299437656
155	0.2296764267
156	0.2294071473
157	0.2290676044
158	0.2288163613
159	0.22840242
160	0.2280013162
161	0.2277519586
162	0.2273083533
163	0.2267024689
164	0.2264139945
165	0.226035862
166	0.2255444214
167	0.2252793846
168	0.2248295947
169	0.2245665295
170	0.2242763929
171	0.223833586
172	0.2235175366
173	0.2231929395
174	0.2226293169
175	0.2221200556
176	0.2217198573
177	0.2214748096
178	0.2211364694
179	0.2207912029
180	0.220471761
181	0.2200087822
182	0.2195915678
183	0.2192008068
184	0.2189473236
185	0.2185928532
186	0.218245486
187	0.2178067208
188	0.2175010589
189	0.2168173965
190	0.2164871949
191	0.2161683939
192	0.2158527407
193	0.2156470775
194	0.215333664
195	0.2151407446
196	0.2148439222
197	0.2144988321
198	0.2141678215
199	0.2138490728
200	0.2135894251
201	0.2131599068
202	0.2128053645
203	0.2124380368
204	0.2122247145
205	0.2118451023
206	0.2116238982
207	0.2113577302
208	0.2110445084
209	0.2106714411
210	0.2104427219
211	0.2101037801
212	0.2097261297
213	0.209326771
214	0.2090567135
215	0.2087609848
216	0.2085398177
217	0.2080592091
218	0.2077703267
219	0.2074256961
220	0.207021549
221	0.2066435615
222	0.2062393435
223	0.2059702789
224	0.2057744669
225	0.2056355986
226	0.2053326831
227	0.2050951698
228	0.2048937198
229	0.2045521845
230	0.2042276124
231	0.2040237742
232	0.2037901342
233	0.2035311224
234	0.2032943422
235	0.2029609878
236	0.2025849093
237	0.2023887814
238	0.2020707958
239	0.2018813102
240	0.2017203973
241	0.2015252689
242	0.2012471095
243	0.2009515725
244	0.2007792073
245	0.2004898513
246	0.2002078255
247	0.1999152048
248	0.199720503
249	0.1995174696
250	0.1993182834
251	0.1990443218
252	0.1988139036
253	0.1985334299
254	0.19834493
255	0.1980867631
256	0.1979220853
257	0.1976341832
258	0.1973923373
259	0.1971499705
260	0.1966907519
261	0.196514097
262	0.1962303167
263	0.1960454689
264	0.1957413034
265	0.1954084796
266	0.1952285734
267	0.1951132685
268	0.1949790801
269	0.1948157551
270	0.1946375033
271	0.1943549688
272	0.194128488
273	0.1937815277
274	0.1934556308
275	0.1931418004
276	0.1928982453
277	0.1926091452
278	0.1924947867
279	0.192184356
280	0.191989254
281	0.1918862284
282	0.1917328563
283	0.19148059
284	0.1913785254
285	0.1912252138
286	0.1910175681
287	0.1908476339
288	0.1907026656
289	0.1905491923
290	0.1903986582
291	0.1901688153
292	0.1899390625
293	0.1897859838
294	0.1896571439
295	0.1895095572
296	0.1893622292
297	0.1892548535
298	0.1889704761
299	0.1887341706
300	0.1884969983
301	0.1883498798
302	0.1880905659
303	0.1879057648
304	0.1877581769
305	0.1874222418
306	0.187287103
307	0.1871441207
308	0.1869900576
309	0.1869033228
310	0.1867089295
311	0.186526062
312	0.1863677106
313	0.1861560876
314	0.1860496089
315	0.1858139365
316	0.1855967588
317	0.185491944
318	0.1852434041
319	0.1851009793
320	0.1847938306
321	0.184587445
322	0.1844377588
323	0.1842881438
324	0.1841113503
325	0.1840135446
326	0.1838534293
327	0.1837607092
328	0.1835654559
329	0.1833607691
330	0.1832252936
331	0.1830432967
332	0.1828804327
333	0.1827331956
334	0.1825716897
335	0.1824610437
336	0.1821586562
337	0.1820283795
338	0.1818910141
339	0.1816101002
340	0.181449016
341	0.1811978188
342	0.1810997027
343	0.180946787
344	0.1807024238
345	0.1805574315
346	0.180425958
347	0.1803111517
348	0.1801413673
349	0.1799906595
350	0.1797137823
351	0.1794063935
352	0.1793031402
353	0.1791621925
354	0.1790750249
355	0.1788813927
356	0.1787002184
357	0.1784527534
358	0.1783092643
359	0.1781901977
360	0.1781190217
361	0.1780262306
362	0.1778954595
363	0.177624967
364	0.1775490595
365	0.177281659
366	0.1771329236
367	0.176944717
368	0.1768776231
369	0.176725947
370	0.1765146686
371	0.1763695288
372	0.1762468817
